date,value
3/27/2012,13197.73
3/28/2012,13126.21
3/29/2012,13145.82
3/30/2012,13212.04
4/2/2012,13264.49
4/3/2012,13199.55
4/4/2012,13074.75
4/5/2012,13060.14
4/6/2012,.
4/9/2012,12929.59
4/10/2012,12715.93
4/11/2012,12805.39
4/12/2012,12986.58
4/13/2012,12849.59
4/16/2012,12921.41
4/17/2012,13115.54
4/18/2012,13032.75
4/19/2012,12964.1
4/20/2012,13029.26
4/23/2012,12927.17
4/24/2012,13001.56
4/25/2012,13090.72
4/26/2012,13204.62
4/27/2012,13228.31
4/30/2012,13213.63
5/1/2012,13279.32
5/2/2012,13268.57
5/3/2012,13206.59
5/4/2012,13038.27
5/7/2012,13008.53
5/8/2012,12932.09
5/9/2012,12835.06
5/10/2012,12855.04
5/11/2012,12820.6
5/14/2012,12695.35
5/15/2012,12632
5/16/2012,12598.55
5/17/2012,12442.49
5/18/2012,12369.38
5/21/2012,12504.48
5/22/2012,12502.81
5/23/2012,12496.15
5/24/2012,12529.75
5/25/2012,12454.83
5/28/2012,.
5/29/2012,12580.69
5/30/2012,12419.86
5/31/2012,12393.45
6/1/2012,12118.57
6/4/2012,12101.46
6/5/2012,12127.95
6/6/2012,12414.79
6/7/2012,12460.96
6/8/2012,12554.2
6/11/2012,12411.23
6/12/2012,12573.8
6/13/2012,12496.38
6/14/2012,12651.91
6/15/2012,12767.17
6/18/2012,12741.82
6/19/2012,12837.33
6/20/2012,12824.39
6/21/2012,12573.57
6/22/2012,12640.78
6/25/2012,12502.66
6/26/2012,12534.67
6/27/2012,12627.01
6/28/2012,12602.26
6/29/2012,12880.09
7/2/2012,12871.39
7/3/2012,12943.82
7/4/2012,.
7/5/2012,12896.67
7/6/2012,12772.47
7/9/2012,12736.29
7/10/2012,12653.12
7/11/2012,12604.53
7/12/2012,12573.27
7/13/2012,12777.09
7/16/2012,12727.21
7/17/2012,12805.54
7/18/2012,12908.7
7/19/2012,12943.36
7/20/2012,12822.57
7/23/2012,12721.46
7/24/2012,12617.32
7/25/2012,12676.05
7/26/2012,12887.93
7/27/2012,13075.66
7/30/2012,13073.01
7/31/2012,13008.68
8/1/2012,12971.06
8/2/2012,12878.88
8/3/2012,13096.17
8/6/2012,13117.51
8/7/2012,13168.6
8/8/2012,13175.64
8/9/2012,13165.19
8/10/2012,13207.95
8/13/2012,13169.43
8/14/2012,13172.14
8/15/2012,13164.78
8/16/2012,13250.11
8/17/2012,13275.2
8/20/2012,13271.64
8/21/2012,13203.58
8/22/2012,13172.76
8/23/2012,13057.46
8/24/2012,13157.97
8/27/2012,13124.67
8/28/2012,13102.99
8/29/2012,13107.48
8/30/2012,13000.71
8/31/2012,13090.84
9/3/2012,.
9/4/2012,13035.94
9/5/2012,13047.48
9/6/2012,13292
9/7/2012,13306.64
9/10/2012,13254.29
9/11/2012,13323.36
9/12/2012,13333.35
9/13/2012,13539.86
9/14/2012,13593.37
9/17/2012,13553.1
9/18/2012,13564.64
9/19/2012,13577.96
9/20/2012,13596.93
9/21/2012,13579.47
9/24/2012,13558.92
9/25/2012,13457.55
9/26/2012,13413.51
9/27/2012,13485.97
9/28/2012,13437.13
10/1/2012,13515.11
10/2/2012,13482.36
10/3/2012,13494.61
10/4/2012,13575.36
10/5/2012,13610.15
10/8/2012,13583.65
10/9/2012,13473.53
10/10/2012,13344.97
10/11/2012,13326.39
10/12/2012,13328.85
10/15/2012,13424.23
10/16/2012,13551.78
10/17/2012,13557
10/18/2012,13548.94
10/19/2012,13343.51
10/22/2012,13345.89
10/23/2012,13102.53
10/24/2012,13077.34
10/25/2012,13103.68
10/26/2012,13107.21
10/29/2012,.
10/30/2012,.
10/31/2012,13096.46
11/1/2012,13232.62
11/2/2012,13093.16
11/5/2012,13112.44
11/6/2012,13245.68
11/7/2012,12932.73
11/8/2012,12811.32
11/9/2012,12815.39
11/12/2012,12815.08
11/13/2012,12756.18
11/14/2012,12570.95
11/15/2012,12542.38
11/16/2012,12588.31
11/19/2012,12795.96
11/20/2012,12788.51
11/21/2012,12836.89
11/22/2012,.
11/23/2012,13009.68
11/26/2012,12967.37
11/27/2012,12878.13
11/28/2012,12985.11
11/29/2012,13021.82
11/30/2012,13025.58
12/3/2012,12965.6
12/4/2012,12951.78
12/5/2012,13034.49
12/6/2012,13074.04
12/7/2012,13155.13
12/10/2012,13169.88
12/11/2012,13248.44
12/12/2012,13245.45
12/13/2012,13170.72
12/14/2012,13135.01
12/17/2012,13235.39
12/18/2012,13350.96
12/19/2012,13251.97
12/20/2012,13311.72
12/21/2012,13190.84
12/24/2012,13139.08
12/25/2012,.
12/26/2012,13114.59
12/27/2012,13096.31
12/28/2012,12938.11
12/31/2012,13104.14
1/1/2013,.
1/2/2013,13412.55
1/3/2013,13391.36
1/4/2013,13435.21
1/7/2013,13384.29
1/8/2013,13328.85
1/9/2013,13390.51
1/10/2013,13471.22
1/11/2013,13488.43
1/14/2013,13507.32
1/15/2013,13534.89
1/16/2013,13511.23
1/17/2013,13596.02
1/18/2013,13649.7
1/21/2013,.
1/22/2013,13712.21
1/23/2013,13779.33
1/24/2013,13825.33
1/25/2013,13895.98
1/28/2013,13881.93
1/29/2013,13954.42
1/30/2013,13910.42
1/31/2013,13860.58
2/1/2013,14009.79
2/4/2013,13880.08
2/5/2013,13979.3
2/6/2013,13986.52
2/7/2013,13944.05
2/8/2013,13992.97
2/11/2013,13971.24
2/12/2013,14018.7
2/13/2013,13982.91
2/14/2013,13973.39
2/15/2013,13981.76
2/18/2013,.
2/19/2013,14035.67
2/20/2013,13927.54
2/21/2013,13880.62
2/22/2013,14000.57
2/25/2013,13784.17
2/26/2013,13900.13
2/27/2013,14075.37
2/28/2013,14054.49
3/1/2013,14089.66
3/4/2013,14127.82
3/5/2013,14253.77
3/6/2013,14296.24
3/7/2013,14329.49
3/8/2013,14397.07
3/11/2013,14447.29
3/12/2013,14450.06
3/13/2013,14455.28
3/14/2013,14539.14
3/15/2013,14514.11
3/18/2013,14452.06
3/19/2013,14455.82
3/20/2013,14511.73
3/21/2013,14421.49
3/22/2013,14512.03
3/25/2013,14447.75
3/26/2013,14559.65
3/27/2013,14526.16
3/28/2013,14578.54
3/29/2013,.
4/1/2013,14572.85
4/2/2013,14662.01
4/3/2013,14550.35
4/4/2013,14606.11
4/5/2013,14565.25
4/8/2013,14613.48
4/9/2013,14673.46
4/10/2013,14802.24
4/11/2013,14865.14
4/12/2013,14865.06
4/15/2013,14599.2
4/16/2013,14756.78
4/17/2013,14618.59
4/18/2013,14537.14
4/19/2013,14547.51
4/22/2013,14567.17
4/23/2013,14719.46
4/24/2013,14676.3
4/25/2013,14700.8
4/26/2013,14712.55
4/29/2013,14818.75
4/30/2013,14839.8
5/1/2013,14700.95
5/2/2013,14831.58
5/3/2013,14973.96
5/6/2013,14968.89
5/7/2013,15056.2
5/8/2013,15105.12
5/9/2013,15082.62
5/10/2013,15118.49
5/13/2013,15091.68
5/14/2013,15215.25
5/15/2013,15275.69
5/16/2013,15233.22
5/17/2013,15354.4
5/20/2013,15335.28
5/21/2013,15387.58
5/22/2013,15307.17
5/23/2013,15294.5
5/24/2013,15303.1
5/27/2013,.
5/28/2013,15409.39
5/29/2013,15302.8
5/30/2013,15324.53
5/31/2013,15115.57
6/3/2013,15254.03
6/4/2013,15177.54
6/5/2013,14960.59
6/6/2013,15040.62
6/7/2013,15248.12
6/10/2013,15238.59
6/11/2013,15122.02
6/12/2013,14995.23
6/13/2013,15176.08
6/14/2013,15070.18
6/17/2013,15179.85
6/18/2013,15318.23
6/19/2013,15112.19
6/20/2013,14758.32
6/21/2013,14799.4
6/24/2013,14659.56
6/25/2013,14760.31
6/26/2013,14910.14
6/27/2013,15024.49
6/28/2013,14909.6
7/1/2013,14974.96
7/2/2013,14932.41
7/3/2013,14988.55
7/4/2013,.
7/5/2013,15135.84
7/8/2013,15224.69
7/9/2013,15300.34
7/10/2013,15291.66
7/11/2013,15460.92
7/12/2013,15464.3
7/15/2013,15484.26
7/16/2013,15451.85
7/17/2013,15470.52
7/18/2013,15548.54
7/19/2013,15543.74
7/22/2013,15545.55
7/23/2013,15567.74
7/24/2013,15542.24
7/25/2013,15555.61
7/26/2013,15558.83
7/29/2013,15521.97
7/30/2013,15520.59
7/31/2013,15499.54
8/1/2013,15628.02
8/2/2013,15658.36
8/5/2013,15612.13
8/6/2013,15518.74
8/7/2013,15470.67
8/8/2013,15498.32
8/9/2013,15425.51
8/12/2013,15419.68
8/13/2013,15451.01
8/14/2013,15337.66
8/15/2013,15112.19
8/16/2013,15081.47
8/19/2013,15010.74
8/20/2013,15002.99
8/21/2013,14897.55
8/22/2013,14963.74
8/23/2013,15010.51
8/26/2013,14946.46
8/27/2013,14776.13
8/28/2013,14824.51
8/29/2013,14840.95
8/30/2013,14810.31
9/2/2013,.
9/3/2013,14833.96
9/4/2013,14930.87
9/5/2013,14937.48
9/6/2013,14922.5
9/9/2013,15063.12
9/10/2013,15191.06
9/11/2013,15326.6
9/12/2013,15300.64
9/13/2013,15376.06
9/16/2013,15494.78
9/17/2013,15529.73
9/18/2013,15676.94
9/19/2013,15636.55
9/20/2013,15451.09
9/23/2013,15401.38
9/24/2013,15334.59
9/25/2013,15273.26
9/26/2013,15328.3
9/27/2013,15258.24
9/30/2013,15129.67
10/1/2013,15191.7
10/2/2013,15133.14
10/3/2013,14996.48
10/4/2013,15072.58
10/7/2013,14936.24
10/8/2013,14776.53
10/9/2013,14802.98
10/10/2013,15126.07
10/11/2013,15237.11
10/14/2013,15301.26
10/15/2013,15168.01
10/16/2013,15373.83
10/17/2013,15371.65
10/18/2013,15399.65
10/21/2013,15392.2
10/22/2013,15467.66
10/23/2013,15413.33
10/24/2013,15509.21
10/25/2013,15570.28
10/28/2013,15568.93
10/29/2013,15680.35
10/30/2013,15618.76
10/31/2013,15545.75
11/1/2013,15615.55
11/4/2013,15639.12
11/5/2013,15618.22
11/6/2013,15746.88
11/7/2013,15593.98
11/8/2013,15761.78
11/11/2013,15783.1
11/12/2013,15750.67
11/13/2013,15821.63
11/14/2013,15876.22
11/15/2013,15961.7
11/18/2013,15976.02
11/19/2013,15967.03
11/20/2013,15900.82
11/21/2013,16009.99
11/22/2013,16064.77
11/25/2013,16072.54
11/26/2013,16072.8
11/27/2013,16097.33
11/28/2013,.
11/29/2013,16086.41
12/2/2013,16008.77
12/3/2013,15914.62
12/4/2013,15889.77
12/5/2013,15821.51
12/6/2013,16020.2
12/9/2013,16025.53
12/10/2013,15973.13
12/11/2013,15843.53
12/12/2013,15739.43
12/13/2013,15755.36
12/16/2013,15884.57
12/17/2013,15875.26
12/18/2013,16167.97
12/19/2013,16179.08
12/20/2013,16221.14
12/23/2013,16294.61
12/24/2013,16357.55
12/25/2013,.
12/26/2013,16479.88
12/27/2013,16478.41
12/30/2013,16504.29
12/31/2013,16576.66
1/1/2014,.
1/2/2014,16441.35
1/3/2014,16469.99
1/6/2014,16425.1
1/7/2014,16530.94
1/8/2014,16462.74
1/9/2014,16444.76
1/10/2014,16437.05
1/13/2014,16257.94
1/14/2014,16373.86
1/15/2014,16481.94
1/16/2014,16417.01
1/17/2014,16458.56
1/20/2014,.
1/21/2014,16414.44
1/22/2014,16373.34
1/23/2014,16197.35
1/24/2014,15879.11
1/27/2014,15837.88
1/28/2014,15928.56
1/29/2014,15738.79
1/30/2014,15848.61
1/31/2014,15698.85
2/3/2014,15372.8
2/4/2014,15445.24
2/5/2014,15440.23
2/6/2014,15628.53
2/7/2014,15794.08
2/10/2014,15801.79
2/11/2014,15994.77
2/12/2014,15963.94
2/13/2014,16027.59
2/14/2014,16154.39
2/17/2014,.
2/18/2014,16130.4
2/19/2014,16040.56
2/20/2014,16133.23
2/21/2014,16103.3
2/24/2014,16207.14
2/25/2014,16179.66
2/26/2014,16198.41
2/27/2014,16272.65
2/28/2014,16321.71
3/3/2014,16168.03
3/4/2014,16395.88
3/5/2014,16360.18
3/6/2014,16421.89
3/7/2014,16452.72
3/10/2014,16418.68
3/11/2014,16351.25
3/12/2014,16340.08
3/13/2014,16108.89
3/14/2014,16065.67
3/17/2014,16247.22
3/18/2014,16336.19
3/19/2014,16222.17
3/20/2014,16331.05
3/21/2014,16302.77
3/24/2014,16276.69
3/25/2014,16367.88
3/26/2014,16268.99
3/27/2014,16264.23
3/28/2014,16323.06
3/31/2014,16457.66
4/1/2014,16532.61
4/2/2014,16573
4/3/2014,16572.55
4/4/2014,16412.71
4/7/2014,16245.87
4/8/2014,16256.14
4/9/2014,16437.18
4/10/2014,16170.22
4/11/2014,16026.75
4/14/2014,16173.24
4/15/2014,16262.56
4/16/2014,16424.85
4/17/2014,16408.54
4/18/2014,.
4/21/2014,16449.25
4/22/2014,16514.37
4/23/2014,16501.65
4/24/2014,16501.65
4/25/2014,16361.46
4/28/2014,16448.74
4/29/2014,16535.37
4/30/2014,16580.84
5/1/2014,16558.87
5/2/2014,16512.89
5/5/2014,16530.55
5/6/2014,16401.02
5/7/2014,16518.54
5/8/2014,16550.97
5/9/2014,16583.34
5/12/2014,16695.47
5/13/2014,16715.44
5/14/2014,16613.97
5/15/2014,16446.81
5/16/2014,16491.31
5/19/2014,16511.86
5/20/2014,16374.31
5/21/2014,16533.06
5/22/2014,16543.08
5/23/2014,16606.27
5/26/2014,.
5/27/2014,16675.5
5/28/2014,16633.18
5/29/2014,16698.74
5/30/2014,16717.17
6/2/2014,16743.63
6/3/2014,16722.34
6/4/2014,16737.53
6/5/2014,16836.11
6/6/2014,16924.28
6/9/2014,16943.1
6/10/2014,16945.92
6/11/2014,16843.88
6/12/2014,16734.19
6/13/2014,16775.74
6/16/2014,16781.01
6/17/2014,16808.49
6/18/2014,16906.62
6/19/2014,16921.46
6/20/2014,16947.08
6/23/2014,16937.26
6/24/2014,16818.13
6/25/2014,16867.51
6/26/2014,16846.13
6/27/2014,16851.84
6/30/2014,16826.6
7/1/2014,16956.07
7/2/2014,16976.24
7/3/2014,17068.26
7/4/2014,.
7/7/2014,17024.21
7/8/2014,16906.62
7/9/2014,16985.61
7/10/2014,16915.07
7/11/2014,16943.81
7/14/2014,17055.42
7/15/2014,17060.68
7/16/2014,17138.2
7/17/2014,16976.81
7/18/2014,17100.18
7/21/2014,17051.73
7/22/2014,17113.54
7/23/2014,17086.63
7/24/2014,17083.8
7/25/2014,16960.57
7/28/2014,16982.59
7/29/2014,16912.11
7/30/2014,16880.36
7/31/2014,16563.3
8/1/2014,16493.37
8/4/2014,16569.28
8/5/2014,16429.47
8/6/2014,16443.34
8/7/2014,16368.27
8/8/2014,16553.93
8/11/2014,16569.98
8/12/2014,16560.54
8/13/2014,16651.8
8/14/2014,16713.58
8/15/2014,16662.91
8/18/2014,16838.74
8/19/2014,16919.59
8/20/2014,16979.13
8/21/2014,17039.49
8/22/2014,17001.22
8/25/2014,17076.87
8/26/2014,17106.7
8/27/2014,17122.01
8/28/2014,17079.57
8/29/2014,17098.45
9/1/2014,.
9/2/2014,17067.56
9/3/2014,17078.28
9/4/2014,17069.58
9/5/2014,17137.36
9/8/2014,17111.42
9/9/2014,17013.87
9/10/2014,17068.71
9/11/2014,17049
9/12/2014,16987.51
9/15/2014,17031.14
9/16/2014,17131.97
9/17/2014,17156.85
9/18/2014,17265.99
9/19/2014,17279.74
9/22/2014,17172.68
9/23/2014,17055.87
9/24/2014,17210.06
9/25/2014,16945.8
9/26/2014,17113.15
9/29/2014,17071.22
9/30/2014,17042.9
10/1/2014,16804.71
10/2/2014,16801.05
10/3/2014,17009.69
10/6/2014,16991.91
10/7/2014,16719.39
10/8/2014,16994.22
10/9/2014,16659.25
10/10/2014,16544.1
10/13/2014,16321.07
10/14/2014,16315.19
10/15/2014,16141.74
10/16/2014,16117.24
10/17/2014,16380.41
10/20/2014,16399.67
10/21/2014,16614.81
10/22/2014,16461.32
10/23/2014,16677.9
10/24/2014,16805.41
10/27/2014,16817.94
10/28/2014,17005.75
10/29/2014,16974.31
10/30/2014,17195.42
10/31/2014,17390.52
11/3/2014,17366.24
11/4/2014,17383.84
11/5/2014,17484.53
11/6/2014,17554.47
11/7/2014,17573.93
11/10/2014,17613.74
11/11/2014,17614.9
11/12/2014,17612.2
11/13/2014,17652.79
11/14/2014,17634.74
11/17/2014,17647.75
11/18/2014,17687.82
11/19/2014,17685.73
11/20/2014,17719
11/21/2014,17810.06
11/24/2014,17817.9
11/25/2014,17814.94
11/26/2014,17827.75
11/27/2014,.
11/28/2014,17828.24
12/1/2014,17776.8
12/2/2014,17879.55
12/3/2014,17912.62
12/4/2014,17900.1
12/5/2014,17958.79
12/8/2014,17852.48
12/9/2014,17801.2
12/10/2014,17533.15
12/11/2014,17596.34
12/12/2014,17280.83
12/15/2014,17180.84
12/16/2014,17068.87
12/17/2014,17356.87
12/18/2014,17778.15
12/19/2014,17804.8
12/22/2014,17959.44
12/23/2014,18024.17
12/24/2014,18030.21
12/25/2014,.
12/26/2014,18053.71
12/29/2014,18038.23
12/30/2014,17983.07
12/31/2014,17823.07
1/1/2015,.
1/2/2015,17832.99
1/5/2015,17501.65
1/6/2015,17371.64
1/7/2015,17584.52
1/8/2015,17907.87
1/9/2015,17737.37
1/12/2015,17640.84
1/13/2015,17613.68
1/14/2015,17427.09
1/15/2015,17320.71
1/16/2015,17511.57
1/19/2015,.
1/20/2015,17515.23
1/21/2015,17554.28
1/22/2015,17813.98
1/23/2015,17672.6
1/26/2015,17678.7
1/27/2015,17387.21
1/28/2015,17191.37
1/29/2015,17416.85
1/30/2015,17164.95
2/2/2015,17361.04
2/3/2015,17666.4
2/4/2015,17673.02
2/5/2015,17884.88
2/6/2015,17824.29
2/9/2015,17729.21
2/10/2015,17868.76
2/11/2015,17862.14
2/12/2015,17972.38
2/13/2015,18019.35
2/16/2015,.
2/17/2015,18047.58
2/18/2015,18029.85
2/19/2015,17985.77
2/20/2015,18140.44
2/23/2015,18116.84
2/24/2015,18209.19
2/25/2015,18224.57
2/26/2015,18214.42
2/27/2015,18132.7
3/2/2015,18288.63
3/3/2015,18203.37
3/4/2015,18096.9
3/5/2015,18135.72
3/6/2015,17856.78
3/9/2015,17995.72
3/10/2015,17662.94
3/11/2015,17635.39
3/12/2015,17895.22
3/13/2015,17749.31
3/16/2015,17977.42
3/17/2015,17849.08
3/18/2015,18076.19
3/19/2015,17959.03
3/20/2015,18127.65
3/23/2015,18116.04
3/24/2015,18011.14
3/25/2015,17718.54
3/26/2015,17678.23
3/27/2015,17712.66
3/30/2015,17976.31
3/31/2015,17776.12
4/1/2015,17698.18
4/2/2015,17763.24
4/3/2015,.
4/6/2015,17880.85
4/7/2015,17875.42
4/8/2015,17902.51
4/9/2015,17958.73
4/10/2015,18057.65
4/13/2015,17977.04
4/14/2015,18036.7
4/15/2015,18112.61
4/16/2015,18105.77
4/17/2015,17826.3
4/20/2015,18034.93
4/21/2015,17949.59
4/22/2015,18038.27
4/23/2015,18058.69
4/24/2015,18080.14
4/27/2015,18037.97
4/28/2015,18110.14
4/29/2015,18035.53
4/30/2015,17840.52
5/1/2015,18024.06
5/4/2015,18070.4
5/5/2015,17928.2
5/6/2015,17841.98
5/7/2015,17924.06
5/8/2015,18191.11
5/11/2015,18105.17
5/12/2015,18068.23
5/13/2015,18060.49
5/14/2015,18252.24
5/15/2015,18272.56
5/18/2015,18298.88
5/19/2015,18312.39
5/20/2015,18285.4
5/21/2015,18285.74
5/22/2015,18232.02
5/25/2015,.
5/26/2015,18041.54
5/27/2015,18162.99
5/28/2015,18126.12
5/29/2015,18010.68
6/1/2015,18040.37
6/2/2015,18011.94
6/3/2015,18076.27
6/4/2015,17905.58
6/5/2015,17849.46
6/8/2015,17766.55
6/9/2015,17764.04
6/10/2015,18000.4
6/11/2015,18039.37
6/12/2015,17898.84
6/15/2015,17791.17
6/16/2015,17904.48
6/17/2015,17935.74
6/18/2015,18115.84
6/19/2015,18015.95
6/22/2015,18119.78
6/23/2015,18144.07
6/24/2015,17966.07
6/25/2015,17890.36
6/26/2015,17946.68
6/29/2015,17596.35
6/30/2015,17619.51
7/1/2015,17757.91
7/2/2015,17730.11
7/3/2015,.
7/6/2015,17683.58
7/7/2015,17776.91
7/8/2015,17515.42
7/9/2015,17548.62
7/10/2015,17760.41
7/13/2015,17977.68
7/14/2015,18053.58
7/15/2015,18050.17
7/16/2015,18120.25
7/17/2015,18086.45
7/20/2015,18100.41
7/21/2015,17919.29
7/22/2015,17851.04
7/23/2015,17731.92
7/24/2015,17568.53
7/27/2015,17440.59
7/28/2015,17630.27
7/29/2015,17751.39
7/30/2015,17745.98
7/31/2015,17689.86
8/3/2015,17598.2
8/4/2015,17550.69
8/5/2015,17540.47
8/6/2015,17419.75
8/7/2015,17373.38
8/10/2015,17615.17
8/11/2015,17402.84
8/12/2015,17402.51
8/13/2015,17408.25
8/14/2015,17477.4
8/17/2015,17545.18
8/18/2015,17511.34
8/19/2015,17348.73
8/20/2015,16990.69
8/21/2015,16459.75
8/24/2015,15871.35
8/25/2015,15666.44
8/26/2015,16285.51
8/27/2015,16654.77
8/28/2015,16643.01
8/31/2015,16528.03
9/1/2015,16058.35
9/2/2015,16351.38
9/3/2015,16374.76
9/4/2015,16102.38
9/7/2015,.
9/8/2015,16492.68
9/9/2015,16253.57
9/10/2015,16330.4
9/11/2015,16433.09
9/14/2015,16370.96
9/15/2015,16599.85
9/16/2015,16739.95
9/17/2015,16674.74
9/18/2015,16384.58
9/21/2015,16510.19
9/22/2015,16330.47
9/23/2015,16279.89
9/24/2015,16201.32
9/25/2015,16314.67
9/28/2015,16001.89
9/29/2015,16049.13
9/30/2015,16284.7
10/1/2015,16272.01
10/2/2015,16472.37
10/5/2015,16776.43
10/6/2015,16790.19
10/7/2015,16912.29
10/8/2015,17050.75
10/9/2015,17084.49
10/12/2015,17131.86
10/13/2015,17081.89
10/14/2015,16924.75
10/15/2015,17141.75
10/16/2015,17215.97
10/19/2015,17230.54
10/20/2015,17217.11
10/21/2015,17168.61
10/22/2015,17489.16
10/23/2015,17646.7
10/26/2015,17623.05
10/27/2015,17581.43
10/28/2015,17779.52
10/29/2015,17755.8
10/30/2015,17663.54
11/2/2015,17828.76
11/3/2015,17918.15
11/4/2015,17867.58
11/5/2015,17863.43
11/6/2015,17910.33
11/9/2015,17730.48
11/10/2015,17758.21
11/11/2015,17702.22
11/12/2015,17448.07
11/13/2015,17245.24
11/16/2015,17483.01
11/17/2015,17489.5
11/18/2015,17737.16
11/19/2015,17732.75
11/20/2015,17823.81
11/23/2015,17792.68
11/24/2015,17812.19
11/25/2015,17813.39
11/26/2015,.
11/27/2015,17798.49
11/30/2015,17719.92
12/1/2015,17888.35
12/2/2015,17729.68
12/3/2015,17477.67
12/4/2015,17847.63
12/7/2015,17730.51
12/8/2015,17568
12/9/2015,17492.3
12/10/2015,17574.75
12/11/2015,17265.21
12/14/2015,17368.5
12/15/2015,17524.91
12/16/2015,17749.09
12/17/2015,17495.84
12/18/2015,17128.55
12/21/2015,17251.62
12/22/2015,17417.27
12/23/2015,17602.61
12/24/2015,17552.17
12/25/2015,.
12/28/2015,17528.27
12/29/2015,17720.98
12/30/2015,17603.87
12/31/2015,17425.03
1/1/2016,.
1/4/2016,17148.94
1/5/2016,17158.66
1/6/2016,16906.51
1/7/2016,16514.1
1/8/2016,16346.45
1/11/2016,16398.57
1/12/2016,16516.22
1/13/2016,16151.41
1/14/2016,16379.05
1/15/2016,15988.08
1/18/2016,.
1/19/2016,16016.02
1/20/2016,15766.74
1/21/2016,15882.68
1/22/2016,16093.51
1/25/2016,15885.22
1/26/2016,16167.23
1/27/2016,15944.46
1/28/2016,16069.64
1/29/2016,16466.3
2/1/2016,16449.18
2/2/2016,16153.54
2/3/2016,16336.66
