county_name,county_name_state,state
Cedar,cedar_ia,ia
Mineral,mineral_mt,mt
Pike,pike_pa,pa
Andrew,andrew_mo,mo
Iron,iron_wi,wi
Suffolk city,suffolk city_va,va
Davison,davison_sd,sd
Spalding,spalding_ga,ga
Clearfield,clearfield_pa,pa
Grant,grant_in,in
Highland,highland_oh,oh
Greene,greene_ga,ga
Winona,winona_mn,mn
Cheboygan,cheboygan_mi,mi
Fayette,fayette_in,in
Perry,perry_ms,ms
Butler,butler_ky,ky
Hampshire,hampshire_wv,wv
Teton,teton_mt,mt
Branch,branch_mi,mi
Howard,howard_tx,tx
Preble,preble_oh,oh
Greene,greene_tn,tn
Lincoln,lincoln_or,or
Fentress,fentress_tn,tn
Adams,adams_pa,pa
Nantucket town,nantucket town_ma,ma
Lamar,lamar_ms,ms
Warren,warren_ia,ia
Le flore,le flore_ok,ok
Murray,murray_mn,mn
Clark,clark_mo,mo
Gates,gates_nc,nc
Hall,hall_tx,tx
Nelson,nelson_ky,ky
New york,new york_ny,ny
Chase,chase_ne,ne
Charles,charles_md,md
Cumberland,cumberland_me,me
Posey,posey_in,in
Saguache,saguache_co,co
Wayne,wayne_ia,ia
Fayette,fayette_al,al
Kings,kings_ny,ny
Cherokee,cherokee_ga,ga
Ozaukee,ozaukee_wi,wi
Elk,elk_pa,pa
Thomas,thomas_ga,ga
Osage,osage_ok,ok
Potter,potter_tx,tx
St francois,st francois_mo,mo
Miami,miami_ks,ks
Hot springs,hot springs_wy,wy
Angelina,angelina_tx,tx
Early,early_ga,ga
Roger mills,roger mills_ok,ok
Ferry,ferry_wa,wa
Umatilla,umatilla_or,or
Marshall,marshall_tn,tn
San juan,san juan_ut,ut
Merrick,merrick_ne,ne
Nobles,nobles_mn,mn
Clay,clay_il,il
Racine,racine_wi,wi
Union,union_fl,fl
Boone,boone_ar,ar
Kalamazoo,kalamazoo_mi,mi
Litchfield,litchfield_ct,ct
Fond du lac,fond du lac_wi,wi
Pickett,pickett_tn,tn
Polk,polk_ga,ga
Washington,washington_ut,ut
Burnet,burnet_tx,tx
Pawe,pawe_ne,ne
Lee,lee_fl,fl
Oneida,oneida_ny,ny
Hendricks,hendricks_in,in
Monroe,monroe_pa,pa
Norton,norton_ks,ks
Washington,washington_vt,vt
Polk,polk_tn,tn
Faulk,faulk_sd,sd
Butler,butler_pa,pa
Greene,greene_ia,ia
Larue,larue_ky,ky
Warren,warren_ga,ga
Stutsman,stutsman_nd,nd
Wilson,wilson_ks,ks
Shelby,shelby_tx,tx
Renville,renville_nd,nd
Fremont,fremont_co,co
Iosco,iosco_mi,mi
Sioux,sioux_ia,ia
Jasper,jasper_ia,ia
Wood,wood_wv,wv
Aurora,aurora_sd,sd
Crockett,crockett_tn,tn
Lauderdale,lauderdale_tn,tn
Vinton,vinton_oh,oh
Crawford,crawford_ks,ks
Lincoln,lincoln_mn,mn
Pemiscot,pemiscot_mo,mo
Jackson,jackson_tx,tx
Calhoun,calhoun_mi,mi
Jackson,jackson_sd,sd
Alpena,alpena_mi,mi
Island,island_wa,wa
Edwards,edwards_tx,tx
Oakland,oakland_mi,mi
Clinch,clinch_ga,ga
Jefferson,jefferson_pa,pa
Paulding,paulding_ga,ga
Kiowa,kiowa_ks,ks
Cherokee,cherokee_ia,ia
Wayne,wayne_il,il
Grundy,grundy_ia,ia
Copiah,copiah_ms,ms
El dorado,el dorado_ca,ca
Irwin,irwin_ga,ga
Childress,childress_tx,tx
Scott,scott_ks,ks
Garfield,garfield_ut,ut
Bottineau,bottineau_nd,nd
Delaware,delaware_ia,ia
Sumter,sumter_fl,fl
Randolph,randolph_ga,ga
Randolph,randolph_il,il
Butte,butte_ca,ca
Franklin,franklin_ms,ms
Anderson,anderson_sc,sc
Dunn,dunn_wi,wi
Wayne,wayne_oh,oh
Custer,custer_co,co
Greene,greene_nc,nc
Clayton,clayton_ga,ga
George,george_ms,ms
Saline,saline_il,il
Dickson,dickson_tn,tn
Virginia beach city,virginia beach city_va,va
Finney,finney_ks,ks
Okaloosa,okaloosa_fl,fl
Osceola,osceola_ia,ia
Orange,orange_nc,nc
Ashtabula,ashtabula_oh,oh
Denton,denton_tx,tx
Hale,hale_tx,tx
Blaine,blaine_mt,mt
Washington,washington_oh,oh
Kern,kern_ca,ca
Founta,founta_in,in
Elk,elk_ks,ks
Sherman,sherman_or,or
Henry,henry_oh,oh
Murray,murray_ok,ok
Alexander,alexander_il,il
Yoakum,yoakum_tx,tx
Treutlen,treutlen_ga,ga
Middlesex,middlesex_ct,ct
Calhoun,calhoun_sc,sc
Lane,lane_or,or
Montgomery,montgomery_ia,ia
Wright,wright_mn,mn
Campbell,campbell_sd,sd
Barton,barton_mo,mo
Falls,falls_tx,tx
Kent,kent_ri,ri
Dekb,dekb_al,al
Isanti,isanti_mn,mn
Sharkey,sharkey_ms,ms
Cochran,cochran_tx,tx
Mobile,mobile_al,al
Guilford,guilford_nc,nc
Loup,loup_ne,ne
Madison,madison_in,in
Bourbon,bourbon_ky,ky
Ozark,ozark_mo,mo
Putnam,putnam_oh,oh
Phillips,phillips_co,co
Marshall,marshall_mn,mn
Wayne,wayne_pa,pa
Pike,pike_ms,ms
Mcpherson,mcpherson_ne,ne
Edwards,edwards_il,il
Butler,butler_al,al
Clark,clark_wi,wi
Banks,banks_ga,ga
Cedar,cedar_ne,ne
Labette,labette_ks,ks
Chilton,chilton_al,al
Rockingham,rockingham_nh,nh
Cook,cook_il,il
San joaquin,san joaquin_ca,ca
Trigg,trigg_ky,ky
Mclean,mclean_nd,nd
Barton,barton_ks,ks
Bolivar,bolivar_ms,ms
Jackson,jackson_fl,fl
Caddo,caddo_ok,ok
Page,page_va,va
Lincoln,lincoln_wv,wv
Tioga,tioga_pa,pa
Contra costa,contra costa_ca,ca
Mercer,mercer_mo,mo
Augusta,augusta_va,va
Summit,summit_oh,oh
Sullivan,sullivan_in,in
Marin,marin_ca,ca
Adams,adams_co,co
Barren,barren_ky,ky
Mason,mason_il,il
Montgomery,montgomery_ar,ar
Columbia,columbia_fl,fl
Pocahontas,pocahontas_ia,ia
Arapahoe,arapahoe_co,co
Meigs,meigs_oh,oh
Valley,valley_id,id
Piatt,piatt_il,il
Perquimans,perquimans_nc,nc
Wetzel,wetzel_wv,wv
Deer lodge,deer lodge_mt,mt
Noble,noble_oh,oh
Cowlitz,cowlitz_wa,wa
Jeff davis,jeff davis_ga,ga
Swift,swift_mn,mn
Wells,wells_in,in
Alameda,alameda_ca,ca
Brule,brule_sd,sd
Iredell,iredell_nc,nc
Carroll,carroll_il,il
Madison,madison_ms,ms
Debaca,debaca_nm,nm
Ashe,ashe_nc,nc
Wayne,wayne_mi,mi
Nevada,nevada_ar,ar
Marshall,marshall_ia,ia
Ringgold,ringgold_ia,ia
Madison,madison_mt,mt
Waldo,waldo_me,me
Nez perce,nez perce_id,id
Cheyen,cheyen_ne,ne
Cass,cass_il,il
Geneva,geneva_al,al
Coles,coles_il,il
Roscommon,roscommon_mi,mi
Delaware,delaware_pa,pa
Schuyler,schuyler_il,il
Sheridan,sheridan_ne,ne
Licking,licking_oh,oh
Citrus,citrus_fl,fl
Lincoln,lincoln_me,me
Skamania,skamania_wa,wa
Los alamos,los alamos_nm,nm
Morrill,morrill_ne,ne
Allendale,allendale_sc,sc
Crook,crook_wy,wy
Cumberland,cumberland_pa,pa
Hamilton,hamilton_oh,oh
Lafayette,lafayette_wi,wi
Mclean,mclean_ky,ky
Jackson,jackson_co,co
Burke,burke_nd,nd
Mcmullen,mcmullen_tx,tx
Newport,newport_ri,ri
Buffalo,buffalo_sd,sd
Calhoun,calhoun_tx,tx
Howard,howard_md,md
Jefferson,jefferson_tx,tx
Harrison,harrison_ia,ia
Williamson,williamson_tx,tx
Stark,stark_oh,oh
La p,la p_az,az
Montgomery,montgomery_tn,tn
Polk,polk_ia,ia
Hanover,hanover_va,va
Grundy,grundy_il,il
Crowley,crowley_co,co
Henderson,henderson_tx,tx
Breckinridge,breckinridge_ky,ky
Martin,martin_ky,ky
Franklin,franklin_tx,tx
Fayette,fayette_ky,ky
Rolette,rolette_nd,nd
Emmet,emmet_ia,ia
Saratoga,saratoga_ny,ny
Lonoke,lonoke_ar,ar
Wolfe,wolfe_ky,ky
Clay,clay_tx,tx
Lincoln,lincoln_mo,mo
Charlotte,charlotte_va,va
Cheshire,cheshire_nh,nh
